product_id,title,sub_title,price,market_price,city_name,category,rating,review_count,booking_status,deep_link,sold_out
7955,한복남 한복 체험 & 헤어 스타일링 (경복궁 지점),전통의상 체험 • 서울,HK$ 41,,서울,전통의상 체험,4.5,이용후기 12.4K+건,200K+ 명의 선택,https://www.klook.com/ko/activity/7955-hanbok-rental-voucher-at-kyeonbokgung-store-in-hanboknam-seoul/,0
148093,서울 잠실 롯데타워 에코자르뎅: 줄기세포 두피 스파 체험,스파 • 서울,HK$ 254,,서울,스파,4.9,이용후기 202건,2K+ 명의 선택,https://www.klook.com/ko/activity/148093-eco-jardin-stem-cell-head-spa-experience-in-seoul/,0
104972,한국 eSIM (QR 코드로 즉시 사용 가능),유심 & 와이파이 • 대한민국,HK$ 5,HK$ 16,대한민국,유심 & 와이파이,4.4,이용후기 284건,3K+ 명의 선택,https://www.klook.com/ko/activity/104972-xplori-4g-5g-esim-korea/,0
180827,정샘물 K-뷰티 메이크업 그룹 클래스 & 1:1 메이크업 (성수),뷰티 서비스 • 서울,HK$ 507,,서울,뷰티 서비스,4.7,이용후기 135건,2K+ 명의 선택,https://www.klook.com/ko/activity/180827-jungsaemmool-k-beauty-makeup-group-class-1-1-makeup-seongsu/,0
172349,율라이크 스파 프리미엄 프라이빗 한국식 때밀이 (여성 전용),스파 • 서울,HK$ 446,,서울,스파,5.0,이용후기 51건,400+ 명의 선택,https://www.klook.com/ko/activity/172349-ulike-spa-premium-private-korean-body-scrub-woman-only/,0
149086,프리미엄 박선생 헤드 스파 체험,스파 • 서울,HK$ 304,,서울,스파,4.0,이용후기 37건,500+ 명의 선택,https://www.klook.com/ko/activity/149086-mr-parks-premium-head-spa-experience-in-seoul/,0
209575,서울 지니 헤어 스타일링 & 케어,뷰티 서비스 • 서울,HK$ 270,,서울,뷰티 서비스,,,신규 액티비티,https://www.klook.com/ko/activity/209575-seoul-genie-hair-hair-styling-care/,0
175303,A3 명동 여성 전용 프라이빗 바디 스크럽 스파,스파 • 서울,HK$ 532,,서울,스파,4.6,이용후기 41건,1K+ 명의 선택,https://www.klook.com/ko/activity/175303-korea-basic-scrub-course/,0
133312,명동에서 퍼스널 컬러 분석 메이크업으로 나만의 색깔을 찾아보세요,뷰티 서비스 • 서울,HK$ 703,,서울,뷰티 서비스,4.9,이용후기 2.2K+건,10K+ 명의 선택,https://www.klook.com/ko/activity/133312-seoul-myeongdong-personal-color-analysis/,0
62329,[현지 데이터] 대한민국 4G/LTE 무제한 데이터 eSIM (LG U+),유심 & 와이파이 • 대한민국,HK$ 28,,대한민국,유심 & 와이파이,4.5,이용후기 973건,20K+ 명의 선택,https://www.klook.com/ko/activity/62329-esim-lguplus-southkorea/,0
